1556393	1077655	21883	A10302B00000336264	GRID	Castaway (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556396	1077655	21883	A10302B0000033629X	GRID	Hold On (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556395	1077655	21883	A10302B0000033628Z	GRID	Deadbeat Holiday (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556409	1077655	21883	A10302B0000033623A	GRID	Blood, Sex And Booze (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556411	1077655	21883	A10302B00000336256	GRID	Fashion Victim (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556410	1077655	21883	A10302B00000336248	GRID	Church On Sunday (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1556394	1077655	21883	A10302B00000336272	GRID	Misery (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/3/2000	Reprise
1817944	1077655	21883	0054391681973	UPC	Minority	Audio	Single	Single	Vinyl 12-inch, 33 rpm	Pop	10/3/2000	Reprise
1817969	1077655		0093624496021	UPC	Warning (Int'l)	Audio	Single	Single	CD	Pop	12/11/2000	Reprise
1817962	1077655		0093624495826	UPC	Warning (Int'l)	Audio	Single	Single	CD	Pop	12/11/2000	Reprise
1817961	1077655		0093624497028	UPC	Warning (Int'l-Australia)	Audio	Single	Single	CD 5-inch	Pop	12/11/2000	Reprise
1817972	1077655		0054391678225	UPC	Warning (Int'l)	Audio	Single	Single	CD 5-inch	Pop	12/11/2000	Reprise
1817973	1077655		0093624495925	UPC	Warning (Int'l)	Audio	Single	Single	CD 5-inch	Pop	12/11/2000	Reprise
1817967	1077655		0054391678379	UPC	Warning (Int'l)	Audio	Single	Single	Vinyl	Pop	12/11/2000	Reprise
1817981	1077655	21883	0093624803829	UPC	Warning (Limited Edition)	Audio	Album	Album	CD 5-inch	Pop	12/19/2000	Reprise
1819632	1077655		0093624737728	UPC	Live (2 cd box set)	Audio	Album	Album	CD 5-inch	Pop	1/1/2001	Reprise
1819633	1077655		0093624667322	UPC	Foot In Mouth	Audio	Album	Album	CD 5-inch	Rock	1/1/2001	Reprise
1817955	1077655		0093624238720	UPC	Waiting (Int'l-Enhanced CD)	Audio	Single	Single	CD 5-inch	Pop	6/4/2001	Reprise
1801310	1077655		0093624810124	UPC	Tune In Tokyo (Japan)	Audio	Album	Album	CD 5-inch	Pop	8/3/2001	Reprise
1782347	1077655		0075993856095	UPC	Waiting (Int'l)	Video	Long Form Video (Album)	Unknown - Music Video	DVD-Video	Pop	10/1/2001	WBR Home Video
1817958	1077655	21883	0093624241720	UPC	Waiting (Int'l)	Audio	Single	Single	CD	Pop	10/8/2001	Reprise
1811084	1077655		0075993856026	UPC	Waiting (Int'l)	Video	Long Form Video (Album)	Unknown - Music Video	DVD-Video	Pop	10/8/2001	WBR Home Video
1819664	1077655	21880	0093624814528	UPC	International Superhits!	Audio	Album	Album	CD 5-inch	Rock	10/22/2001	Reprise
1802871	1077655		0093624814542	UPC	International Superhits!	Audio	Album	Album	Tape Cassette	Rock	10/22/2001	Reprise
1801312	1077655		0093624241829	UPC	Poprocks & Coke (WEA Japan)	Audio	Single	Single	CD 5-inch	Rock	11/5/2001	Reprise
1819749	1077655	21997	0075993855029	UPC	International Supervideos!	Video	Long Form Video (Album)	Unknown - Music Video	DVD-Video	Rock	11/12/2001	WBR Home Video
1819750	1077655	21997	0075993855036	UPC	International Supervideos!	Video	Long Form Video (Album)	Unknown - Music Video	Video VHS	Rock	11/12/2001	WBR Home Video
1791993	1077655	21880	0093624814511	UPC	International Superhits!	Audio	Album	Album	Vinyl 12-inch, 33 rpm	Rock	11/13/2001	Reprise
1556397	1077655	21883	A10302B0000033630C	GRID	Macy's Day Parade (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	11/13/2001	Reprise
1764560	1077655		0075993855050	UPC	International Supervideos!	Video	Long Form Video (Album)	Unknown - Music Video	Video CD (VCD)	Rock	11/13/2001	WBR Home Video
1801314	1077655		0093624242826	UPC	Macy's Day Parade (Australia)	Audio	Single	Single	CD 5-inch	Rock	12/17/2001	Reprise
1789111	1077655		PRCD-100887_1051	Promo Number	Pop Disasters Tour Sampler (PROMO)	Audio	Single	Single	CD 5-inch	Pop	4/16/2002	Reprise
1796262	1077655	21882	0093624820826	UPC	Shenanigans	Audio	Album	Album	CD 5-inch	Rock	7/1/2002	Reprise
1796261	1077655		0093624820840	UPC	Shenanigans	Audio	Album	Album	Tape Cassette	Rock	7/1/2002	Reprise
1793718	1077655	21882	0093624820819	UPC	Shenanigans	Audio	Album	Album	Vinyl 12-inch, 33 rpm	Rock	7/2/2002	Reprise
1556366	1077655	21882	A10302B0000033657P	GRID	Ha Ha You're Dead (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556363	1077655	21882	A10302B0000033654V	GRID	Tired Of Waiting For You (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556152	1077655	21882	A10302B0000033871B	GRID	Do Da Da (Non-Album Track)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556359	1077655	21882	A10302B00000336504	GRID	Desensitized (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556364	1077655	21882	A10302B0000033655T	GRID	Sick Of Me (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556362	1077655	21882	A10302B0000033653X	GRID	I Want To Be On TV (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556151	1077655	21882	A10302B0000033870D	GRID	Rotting (Non-Album Track)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556361	1077655	21882	A10302B0000033652Z	GRID	Don't Wanna Fall In Love (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556365	1077655	21882	A10302B0000033656R	GRID	On The Wagon (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1556360	1077655	21882	A10302B00000336512	GRID	You Lied (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Rock	7/2/2002	Reprise
1679336	1077655	21885	A10302B00000000B96	GRID	Longview	Audio	Audio Clip	Mastertone	Electronic	Pop	1/1/2003	Reprise
1679204	1077655	21885	A10302B00000000BB2	GRID	Welcome To Paradise	Audio	Audio Clip	Mastertone	Electronic	Pop	1/1/2003	Reprise
