1003827	Children's Voice
1003828	Chirya Tarang
1003845	Chucalho
1003846	Clap Sticks
1003847	Claptrap
1003848	Claves
1003849	Claypot
1003850	Clogs
1003865	Trikitixa
1003866	Tubular
1003867	Tumbas
1003868	Tuna
1003869	Turntables
1003870	Txalaparta
1003871	Tympanon
1003885	V.C.S.3
1003886	Valiha
1003887	Vibrachimes
1003888	Vibraslap
1003889	Vibrators
1003890	Viola DaGamba
1003891	Viola D'Amore
1003892	Vocal
1003893	Vocal Recording
1003905	Vocorgan
1003906	Voice
1003907	Wah Wah
1003908	Wailing
1003909	Wasp
1003910	Water
1003911	Wave
1003912	Weissenborne
1003913	Wind
1003914	Wood Block
1003915	Yang Qin
1003916	Yembé
1003925	Zampoña
1003926	Zapateado
1003927	Zarb
1003928	Zeze
1003929	Zils
1004352	Album Sequencer
1004353	Announcer
1004354	Appregiator
1004355	Author
1004356	Backline
1004357	Baconium
1004358	Cantor
1004359	Compiler
1004361	Concertina
1004363	Contractor
1004366	Copier
1004367	Copyist
1004368	Cornett
1004369	Creator
1004371	Declaimer
1004374	Dulcian
1004375	Esraj
1004377	Graphics
1004379	Hosted By
1004380	Jaleo
1004381	Kazoo
1004382	Khene
1004383	Magrouna
1004384	Marching Band
1004385	Master of Ceremonies
1004386	Master Of The Music
1004387	Mellophone
1004389	Mey
1004390	Miscellaneous
1004391	Noises
1004393	Publisher
1004394	Reader
1004396	Rhythms
1004397	Saw
1004398	Shenai
1004399	Sheng
1004400	Sounds
1004401	Special Guest
1004402	Squeezebox
1004404	Technician
1004405	Transcriber
1004406	Translator
1004407	Vichitra Veena
1004408	Voices
1004409	Washboard
1004465	Assistant
1004466	Protools
1004505	Coordinator
1004506	Reeds
1006425	Triangulo
1006426	Repique
1006427	Violão
1006428	Guitarra
1006429	Cavaquinho
1006430	Cavaquinho com Bandolim
1006431	Bandolim
1006432	Coro
1006433	Ganzá
1006434	Cuíca
1006435	Agogô
1006436	Pandeiro
1006437	Reco-Reco
1006438	Tamborim
1006439	Sopro
1006440	Violino
1006705	String Arranger
1008385	Sousaphone
1008725	Talkbox
1009105	Keytar
1009125	Guitarviol
1009605	Continuum
1010025	Dance Company
1010026	Presenter
1010125	Intérprete
1010145	Requinto Jarocho
